x,y,saturation,concentration
0.005,0.005,0,0.729645
0.015,0.005,0,0.767698
0.025,0.005,0,0.795584
0.035,0.005,0,0.815963
0.045,0.005,0,0.831083
0.055,0.005,0,0.842906
0.065,0.005,0,0.853972
0.075,0.005,0,0.861082
0.085,0.005,0,0.867311
0.095,0.005,0,0.872898
0.105,0.005,0,0.87806
0.115,0.005,0,0.883088
0.125,0.005,0,0.889167
0.135,0.005,0,0.89438
0.145,0.005,0,0.899967
0.155,0.005,0,0.90602
0.165,0.005,0,0.912617
0.175,0.005,0,0.920078
0.185,0.005,0,0.929984
0.195,0.005,0,0.938951
0.205,0.005,0,0.948501
0.215,0.005,0,0.958532
0.225,0.005,0,0.968947
0.235,0.005,0,0.980112
0.245,0.005,0,0.993225
0.255,0.005,0,1.00419
0.265,0.005,0,1.01514
0.275,0.005,0,1.02599
0.285,0.005,0,1.03669
0.295,0.005,0,1.0477
0.305,0.005,0,1.05989
0.315,0.005,0,1.06977
0.325,0.005,0,1.07943
0.335,0.005,0,1.08889
0.345,0.005,0,1.09816
0.355,0.005,0,1.10782
0.365,0.005,0,1.11839
0.375,0.005,0,1.127
0.385,0.005,0,1.13535
0.395,0.005,0,1.14339
0.405,0.005,0,1.15107
0.415,0.005,0,1.15885
0.425,0.005,0,1.16669
0.435,0.005,0,1.17276
0.445,0.005,0,1.17833
0.455,0.005,0,1.18341
0.465,0.005,0,1.188
0.475,0.005,0,1.19238
0.485,0.005,0,1.19637
0.495,0.005,0,1.19924
0.505,0.005,0,1.20172
0.515,0.005,0,1.2038
0.525,0.005,0,1.20554
0.535,0.005,0,1.20706
0.545,0.005,0,1.20823
0.555,0.005,0,1.20895
0.565,0.005,0,1.20947
0.575,0.005,0,1.2098
0.585,0.005,0,1.20998
0.595,0.005,0,1.20999
0.605,0.005,0,1.20984
0.615,0.005,0,1.20959
0.625,0.005,0,1.20926
0.635,0.005,0,1.20886
0.645,0.005,0,1.20839
0.655,0.005,0,1.2078
0.665,0.005,0,1.20713
0.675,0.005,0,1.20651
0.685,0.005,0,1.20588
0.695,0.005,0,1.20526
0.705,0.005,0,1.20467
0.715,0.005,0,1.20406
0.725,0.005,0,1.20352
0.735,0.005,0,1.20309
0.745,0.005,0,1.20272
0.755,0.005,0,1.2024
0.765,0.005,0,1.20216
0.775,0.005,0,1.20197
0.785,0.005,0,1.20185
0.795,0.005,0,1.20178
0.805,0.005,0,1.20175
0.815,0.005,0,1.20176
0.825,0.005,0,1.20183
0.835,0.005,0,1.20203
0.845,0.005,0,1.20235
0.855,0.005,0,1.20278
0.865,0.005,0,1.20333
0.875,0.005,0,1.20401
0.885,0.005,0,1.20483
0.895,0.005,0,1.20598
0.905,0.005,0,1.20725
0.915,0.005,0,1.20855
0.925,0.005,0,1.20996
0.935,0.005,0,1.21147
0.945,0.005,0,1.21308
0.955,0.005,0,1.21509
0.965,0.005,0,1.21704
0.975,0.005,0,1.21888
0.985,0.005,0,1.22075
0.995,0.005,0,1.22263
1.005,0.005,0,1.2245
1.015,0.005,0,1.22668
1.025,0.005,0,1.2286
1.035,0.005,0,1.23033
1.045,0.005,0,1.232
1.055,0.005,0,1.2336
1.065,0.005,0,1.23512
1.075,0.005,0,1.23682
1.085,0.005,0,1.23822
1.095,0.005,0,1.23942
1.105,0.005,0,1.2405
1.115,0.005,0,1.24144
1.125,0.005,0,1.24222
1.135,0.005,0,1.24285
1.145,0.005,0,1.24308
1.155,0.005,0,1.24302
1.165,0.005,0,1.24271
1.175,0.005,0,1.24212
1.185,0.005,0,1.24125
1.195,0.005,0,1.23976
