x,y,saturation,concentration
0.005,0.005,0,0.827564
0.015,0.005,0,0.834946
0.025,0.005,0,0.843027
0.035,0.005,0,0.851041
0.045,0.005,0,0.858571
0.055,0.005,0,0.86564
0.065,0.005,0,0.873605
0.075,0.005,0,0.879466
0.085,0.005,0,0.884939
0.095,0.005,0,0.890086
0.105,0.005,0,0.894955
0.115,0.005,0,0.89967
0.125,0.005,0,0.904999
0.135,0.005,0,0.909076
0.145,0.005,0,0.912981
0.155,0.005,0,0.916725
0.165,0.005,0,0.920319
0.175,0.005,0,0.923874
0.185,0.005,0,0.927865
0.195,0.005,0,0.930969
0.205,0.005,0,0.933948
0.215,0.005,0,0.936803
0.225,0.005,0,0.939536
0.235,0.005,0,0.942251
0.245,0.005,0,0.94522
0.255,0.005,0,0.947529
0.265,0.005,0,0.949716
0.275,0.005,0,0.95178
0.285,0.005,0,0.953718
0.295,0.005,0,0.955611
0.305,0.005,0,0.957542
0.315,0.005,0,0.95897
0.325,0.005,0,0.960252
0.335,0.005,0,0.96139
0.345,0.005,0,0.962388
0.355,0.005,0,0.963296
0.365,0.005,0,0.964122
0.375,0.005,0,0.964682
0.385,0.005,0,0.965151
0.395,0.005,0,0.965539
0.405,0.005,0,0.965858
0.415,0.005,0,0.966136
0.425,0.005,0,0.966373
0.435,0.005,0,0.966529
0.445,0.005,0,0.966651
0.455,0.005,0,0.966735
0.465,0.005,0,0.966782
0.475,0.005,0,0.966786
0.485,0.005,0,0.966726
0.495,0.005,0,0.966625
0.505,0.005,0,0.966482
0.515,0.005,0,0.966298
0.525,0.005,0,0.966075
0.535,0.005,0,0.965785
0.545,0.005,0,0.965429
0.555,0.005,0,0.965088
0.565,0.005,0,0.964727
0.575,0.005,0,0.964353
0.585,0.005,0,0.963972
0.595,0.005,0,0.963554
0.605,0.005,0,0.963144
0.615,0.005,0,0.962821
0.625,0.005,0,0.962538
0.635,0.005,0,0.962304
0.645,0.005,0,0.962129
0.655,0.005,0,0.962023
0.665,0.005,0,0.962039
0.675,0.005,0,0.962157
0.685,0.005,0,0.962369
0.695,0.005,0,0.962681
0.705,0.005,0,0.963097
0.715,0.005,0,0.963705
0.725,0.005,0,0.964476
0.735,0.005,0,0.96528
0.745,0.005,0,0.966181
0.755,0.005,0,0.967172
0.765,0.005,0,0.96824
0.775,0.005,0,0.969542
0.785,0.005,0,0.970886
0.795,0.005,0,0.972122
0.805,0.005,0,0.973377
0.815,0.005,0,0.974642
0.825,0.005,0,0.975913
0.835,0.005,0,0.97737
0.845,0.005,0,0.978755
0.855,0.005,0,0.979988
0.865,0.005,0,0.981193
0.875,0.005,0,0.982366
0.885,0.005,0,0.983503
0.895,0.005,0,0.984757
0.905,0.005,0,0.985879
0.915,0.005,0,0.986859
0.925,0.005,0,0.987801
0.935,0.005,0,0.988709
0.945,0.005,0,0.989585
0.955,0.005,0,0.990569
0.965,0.005,0,0.991447
0.975,0.005,0,0.992236
0.985,0.005,0,0.993009
0.995,0.005,0,0.99377
1.005,0.005,0,0.994523
1.015,0.005,0,0.995404
1.025,0.005,0,0.996205
1.035,0.005,0,0.996955
1.045,0.005,0,0.997709
1.055,0.005,0,0.998468
1.065,0.005,0,0.999234
1.075,0.005,0,1.00014
1.085,0.005,0,1.00096
1.095,0.005,0,1.00172
1.105,0.005,0,1.00249
1.115,0.005,0,1.00325
1.125,0.005,0,1.00399
1.135,0.005,0,1.00487
1.145,0.005,0,1.00561
1.155,0.005,0,1.0063
1.165,0.005,0,1.00697
1.175,0.005,0,1.0076
1.185,0.005,0,1.00822
1.195,0.005,0,1.0089
1.205,0.005,0,1.00943
1.215,0.005,0,1.0099
1.225,0.005,0,1.01032
1.235,0.005,0,1.01068
1.245,0.005,0,1.01098
1.255,0.005,0,1.01124
1.265,0.005,0,1.01136
1.275,0.005,0,1.01139
1.285,0.005,0,1.01134
