id,permeability,porosity,pc_entry,pc_lambda,krw_end,krn_end,swr,snr,pc_lo_swe,pc_hi_swe,krn_lo_swe,krw_hi_swe,alias
1,1e-16,0.1,0,2,1.0,1.0,0.05,0.0,0.01,0.99,0.1,0.9,barrier
2,4.88e-10,0.46,0,2,0.72,0.16,0.14,0.1,0.01,0.99,0.1,0.9,G
3,2.58e-10,0.43,0,2,1.0,0.11,0.03,0.0,0.01,0.99,0.1,0.9,F
4,7.08e-10,0.45,0,2,1.0,0.10,0.21,0.0,0.01,0.99,0.1,0.9,E
5,4.24e-10,0.44,98.1,2,1.0,0.20,0.17,0.0,0.01,0.99,0.1,0.9,D
6,2.39e-10,0.43,294.3,2,1.0,0.20,0.15,0.0,0.01,0.99,0.1,0.9,C
7,3.9e-11,0.44,1471.5,2,1.0,1.0,0.05,0.0,0.01,0.99,0.1,0.9,ESF
