t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
24600,109847,103952,0.00245774,0,0.00107932,6.15967e-05,7.08303e-05,6.30023e-06,0.00119619,1.66167e-06,1.51756,0.00938761
25200,109847,103952,0.00245459,0,0.0010807,6.16397e-05,5.55974e-05,8.28022e-06,0.0011992,1.80309e-06,1.51815,0.00938739
25800,109848,103952,0.00245166,0,0.00108205,6.16873e-05,4.34266e-05,6.9305e-06,0.00120203,1.9412e-06,1.51886,0.00938718
26400,109848,103952,0.0024489,0,0.00108337,6.17408e-05,3.0946e-05,6.24756e-06,0.00120436,2.08048e-06,1.51973,0.00938697
27000,109848,103952,0.00244627,0,0.00108469,6.18006e-05,1.5834e-05,1.1328e-05,0.00120355,2.22596e-06,1.52077,0.00938679
27600,109849,103952,0.00244374,0,0.00108603,6.18697e-05,7.57353e-06,1.18191e-05,0.00120082,2.37291e-06,1.52202,0.00938663
28200,109849,103952,0.00244128,0,0.00108738,6.19386e-05,6.02258e-06,8.27074e-06,0.00119577,2.52592e-06,1.52353,0.0093865
28800,109849,103952,0.00243887,0,0.00108875,6.20031e-05,5.98687e-06,5.2053e-06,0.00118893,2.68171e-06,1.52534,0.00938639
29400,109849,103952,0.00243651,0,0.00109017,6.20696e-05,5.94879e-06,2.99104e-06,0.00118158,2.8328e-06,1.52749,0.00938629
30000,109850,103952,0.00243416,0,0.00109163,6.21384e-05,5.90785e-06,1.72227e-06,0.00117364,2.9804e-06,1.53004,0.00938621
30600,109850,103952,0.00243181,0,0.00109315,6.22031e-05,5.5046e-06,1.57359e-06,0.00116514,3.12431e-06,1.53305,0.00938613
31200,109850,103952,0.00242945,0,0.00109475,6.22661e-05,4.85052e-06,1.79193e-06,0.00115675,3.25913e-06,1.53656,0.00938605
31800,109850,103952,0.00242705,0,0.00109644,6.23273e-05,4.44638e-06,1.83387e-06,0.00114855,3.38878e-06,1.54066,0.00938598
32400,109850,103952,0.00242461,0,0.00109822,6.23906e-05,4.39436e-06,1.59708e-06,0.00114059,3.51281e-06,1.54536,0.0093859
33000,109850,103952,0.0024221,0,0.00110013,6.2453e-05,4.33746e-06,1.28825e-06,0.00113294,3.62758e-06,1.55075,0.00938583
33600,109850,103952,0.0024195,0,0.00110218,6.25086e-05,4.31877e-06,1.13542e-06,0.0011253,3.73821e-06,1.55691,0.00938576
34200,109850,103952,0.00241681,0,0.00110437,6.25607e-05,4.31369e-06,1.00783e-06,0.00111781,3.84043e-06,1.56384,0.00938568
34800,109850,103952,0.002414,0,0.00110674,6.26059e-05,4.30666e-06,8.13479e-07,0.00111057,3.93342e-06,1.57164,0.0093856
35400,109850,103952,0.00241104,0,0.00110931,6.26474e-05,4.29762e-06,5.494e-07,0.00110361,4.0222e-06,1.58033,0.00938552
36000,109850,103952,0.00240791,0,0.00111213,6.26888e-05,4.28657e-06,4.11849e-07,0.00109672,4.10844e-06,1.58997,0.00938544
36600,109850,103952,0.00240456,0,0.00111523,6.27307e-05,4.27338e-06,3.21713e-07,0.00108998,4.18985e-06,1.60057,0.00938537
37200,109850,103952,0.00240071,2.09184e-07,0.00111868,6.27718e-05,4.25775e-06,2.01422e-07,0.00108341,4.26383e-06,1.61219,0.00938529
37800,109850,103952,0.00239705,0,0.0011224,6.28146e-05,4.23953e-06,1.15831e-07,0.00107695,4.33364e-06,1.62484,0.00938522
38400,109850,103952,0.0023932,0,0.00112614,6.28579e-05,4.21874e-06,6.84305e-08,0.00107066,4.40075e-06,1.63865,0.00938514
39000,109850,103952,0.00238877,2.58047e-07,0.00113029,6.28946e-05,4.19469e-06,0,0.00106449,4.45976e-06,1.65365,0.00938506
39600,109850,103952,0.00238433,2.71821e-08,0.00113501,6.29234e-05,4.16674e-06,0,0.0010583,4.50945e-06,1.66987,0.00938497
40200,109849,103952,0.002379,3.33009e-07,0.00114012,6.29459e-05,4.13445e-06,0,0.00105221,4.55178e-06,1.68741,0.00938488
40800,109849,103952,0.00235924,1.43103e-05,0.00114607,6.29549e-05,4.09638e-06,0,0.00104609,4.5834e-06,1.70619,0.00938478
41400,109849,103952,0.00235121,1.5459e-05,0.00115308,6.29497e-05,4.05109e-06,0,0.00103994,4.6029e-06,1.72599,0.00938467
42000,109850,103952,0.00234536,1.41846e-05,0.00116025,6.29399e-05,3.99889e-06,0,0.00103396,4.61814e-06,1.74732,0.00938457
42600,109850,103952,0.00234159,1.36823e-05,0.00116444,6.29601e-05,3.94634e-06,0,0.0010289,4.65986e-06,1.77269,0.0093845
43200,109850,103952,0.00233888,1.29543e-05,0.0011678,6.29917e-05,3.89108e-06,0,0.00102434,4.71394e-06,1.80061,0.00938444
43800,109850,103952,0.00233541,1.35245e-05,0.0011706,6.30294e-05,3.8317e-06,0,0.0010201,4.7728e-06,1.83093,0.00938439
44400,109850,103952,0.0023333,1.31206e-05,0.00117302,6.30705e-05,3.76687e-06,0,0.00101609,4.83455e-06,1.86345,0.00938434
45000,109850,103952,0.00232903,1.50368e-05,0.0011753,6.31112e-05,3.69533e-06,0,0.00101224,4.89642e-06,1.89787,0.0093843
45600,109850,103952,0.00232445,1.74573e-05,0.00117737,6.31519e-05,3.61664e-06,0,0.00100854,4.95844e-06,1.93469,0.00938426
46200,109850,103952,0.00232154,1.82649e-05,0.0011794,6.31917e-05,3.52874e-06,0,0.00100496,5.01928e-06,1.97317,0.00938423
46800,109850,103952,0.00231988,1.79614e-05,0.00118131,6.32329e-05,3.43229e-06,0,0.00100155,5.08098e-06,2.01392,0.00938419
47400,109850,103952,0.00231989,1.5967e-05,0.00118326,6.32735e-05,3.32469e-06,0,0.000998245,5.14146e-06,2.05589,0.00938416
48000,109850,103952,0.00231989,1.4261e-05,0.00118493,6.33155e-05,3.20639e-06,0,0.00099509,5.20337e-06,2.09861,0.00938413
48600,109850,103952,0.0023199,1.25728e-05,0.0011866,6.33566e-05,3.07502e-06,0,0.000992026,5.26463e-06,2.14269,0.0093841
49200,109851,103952,0.0023199,1.1029e-05,0.00118814,6.33983e-05,2.93103e-06,0,0.000989076,5.32614e-06,2.18608,0.00938408
49800,109850,103952,0.00231991,9.81483e-06,0.00118935,6.34414e-05,2.77373e-06,0,0.000986267,5.38922e-06,2.22929,0.00938405
50400,109851,103952,0.00231991,8.49527e-06,0.00119071,6.34834e-05,2.59427e-06,0,0.000983513,5.4496e-06,2.27236,0.00938403
51000,109850,103952,0.00231992,6.96338e-06,0.0011923,6.35254e-05,2.39093e-06,0,0.000980855,5.50928e-06,2.31572,0.00938401
51600,109851,103952,0.00231993,5.74375e-06,0.0011936,6.35686e-05,2.1634e-06,0,0.00097833,5.56993e-06,2.35832,0.00938398
52200,109851,103952,0.00231994,4.79655e-06,0.00119464,6.36131e-05,1.90709e-06,0,0.000975929,5.63118e-06,2.39839,0.00938397
52800,109851,103952,0.00231995,3.96708e-06,0.00119558,6.36582e-05,1.61725e-06,0,0.000973633,5.69228e-06,2.43814,0.00938395
53400,109851,103952,0.00231995,3.31227e-06,0.00119636,6.3704e-05,1.29064e-06,0,0.000971445,5.75343e-06,2.47703,0.00938393
54000,109851,103952,0.00231996,2.73679e-06,0.00119709,6.37506e-05,9.25983e-07,0,0.000969376,5.81518e-06,2.51431,0.00938392
54600,109851,103952,0.00231997,2.4081e-06,0.00119757,6.37982e-05,0,5.26716e-07,0.000967422,5.87764e-06,2.54946,0.0093839
55200,109851,103952,0.00231997,2.20749e-06,0.00119795,6.38466e-05,0,1.04685e-07,0.000965552,5.9403e-06,2.58269,0.00938389
55800,109851,103952,0.00231998,1.94119e-06,0.00119842,6.38954e-05,0,0,0.000963416,6.00385e-06,2.61497,0.00938388
56400,109851,103952,0.00231998,1.64804e-06,0.00119895,6.39446e-05,0,0,0.000961208,6.06648e-06,2.64523,0.00938387
57000,109851,103952,0.00231998,1.43929e-06,0.00119941,6.39948e-05,0,0,0.000959063,6.12954e-06,2.67332,0.00938386
57600,109851,103952,0.00231999,1.22711e-06,0.0011999,6.40456e-05,0,0,0.000956962,6.19221e-06,2.69992,0.00938385
58200,109851,103952,0.00231999,1.0277e-06,0.0012004,6.4097e-05,0,0,0.000954895,6.25425e-06,2.72497,0.00938384
58800,109851,103952,0.00231999,8.16809e-07,0.00120092,6.41491e-05,0,0,0.000952858,6.31503e-06,2.74851,0.00938383
59400,109851,103952,0.00231999,6.94483e-07,0.00120137,6.4202e-05,0,0,0.000950867,6.37597e-06,2.77072,0.00938382
60000,109851,103952,0.00231999,5.05015e-07,0.00120189,6.42554e-05,0,0,0.000948894,6.43573e-06,2.79227,0.00938381
60600,109851,103952,0.00231999,2.9076e-07,0.00120244,6.43094e-05,0,0,0.000946945,6.49437e-06,2.8131,0.0093838
61200,109851,103952,0.00231999,1.62762e-07,0.00120291,6.43643e-05,0,0,0.000945038,6.55297e-06,2.83298,0.0093838
61800,109851,103952,0.00231999,6.3977e-08,0.00120335,6.44201e-05,0,0,0.000943162,6.61094e-06,2.8519,0.00938379
62400,109851,103952,0.00231999,0,0.00120375,6.44766e-05,0,0,0.000941317,6.66829e-06,2.86947,0.00938378
63000,109851,103952,0.00231998,0,0.00120407,6.4534e-05,0,0,0.000939508,6.72558e-06,2.88528,0.00938377
63600,109851,103952,0.00231998,0,0.00120438,6.45922e-05,0,0,0.000937721,6.78201e-06,2.89948,0.00938376
64200,109851,103952,0.00231998,0,0.00120469,6.46512e-05,0,0,0.000935956,6.8375e-06,2.91197,0.00938375
64800,109851,103952,0.00231997,0,0.00120498,6.47109e-05,0,0,0.000934212,6.89209e-06,2.92277,0.00938375
